epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.451878,0.843667,0.327615,0.8855
2,0.311341,0.890354,0.297413,0.892667
3,0.271781,0.903667,0.276304,0.902333
4,0.248329,0.912417,0.265276,0.904667
5,0.231815,0.915729,0.268845,0.90625
6,0.216306,0.923417,0.266557,0.903917
7,0.203686,0.927333,0.257342,0.911167
8,0.192351,0.930687,0.257928,0.907917
9,0.182162,0.934375,0.275276,0.906
